P_high_MPa,COP,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,superheat_K,m_CO2_kg_s,m_steam_kg_h,W_electric_kW,Q_evaporator_kW,x5,IHX_heat_kW,IHX_min_approach_K,gas_cooler_min_approach_K,pinch_location,valid,invalid_reason
16.75,1.5118337420762702,96.98243348912206,237.5573176004043,108.87748256617135,63.356983382872386,15.000000000000966,15.0,81.98243348912109,0.63198452516202,164.77060596598983,79.3738072251242,44.594883136132054,0.6005396293914783,76.3997625370515,11.895049077049293,4.9999997295657295,0.1605351170568562,True,
17.0,1.519164748862124,96.84450486207834,239.2834517996157,108.72146930265927,63.166019867653404,15.000000000000966,15.0,81.84450486207737,0.6203592165528043,164.77060596598983,78.990774430411,44.958764291109574,0.5897333248818993,74.89685021275963,11.876964440580934,4.999999618712366,0.1605351170568562,True,
17.25,1.5262593757677243,96.7071204785907,240.98534736154022,108.56606468913054,62.94932852960312,15.000000000000966,15.0,81.70712047858973,0.6092667271078525,164.77060596598983,78.62359563861074,45.307584143319836,0.579022815728477,73.46219286382204,11.858944210539846,4.999999526861814,0.1605351170568562,True,
17.5,1.533119042482243,96.5699211682001,242.6631938658511,108.41086249042706,62.70874062158862,15.000000000000966,15.0,81.56992116819913,0.598675631653222,164.77060596598983,78.27180843420375,45.64178198750645,0.5684152149838892,72.09149142249484,11.840941322226968,4.999999484593502,0.1605351170568562,True,
17.75,1.539745306249056,96.43257484496888,244.31718427540875,108.25548703929815,62.44604842874753,15.000000000000966,15.0,81.43257484496792,0.5885569082461352,164.77060596598983,77.9349672396987,45.96178112228621,0.5579173170639083,70.78079177287557,11.822912194329263,4.99999943226743,0.1605351170568562,True,
18.0,1.546139917493264,96.29477523446451,245.94751536054457,108.09959180285028,62.16299397638977,15.000000000000966,15.0,81.29477523446354,0.5788836872822395,164.77060596598983,77.61263947867953,46.267992495254454,0.5475355529666723,69.52644845158673,11.804816568385775,4.999996928887924,0.1605351170568562,True,
18.25,1.5523046940063534,96.15625483320639,247.5544067967228,107.94287405081405,61.86126813063618,15.000000000000966,15.0,81.15625483320542,0.5696310620250183,164.77060596598983,77.30441095961078,46.560809588369786,0.5372760544867687,68.32510569735378,11.786619217607665,5.000002680664522,0.1605351170568562,True,
18.5,1.5582419130754621,96.01675358950496,249.13806171733688,107.78503942871038,61.542492569487536,15.000000000000966,15.0,81.01675358950399,0.560775836103248,164.77060596598983,77.00986540861237,46.84062786181829,0.5271444063213412,67.173642353994,11.768285839205419,5.000001300061797,0.1605351170568562,True,
18.75,1.563953855937272,95.87605777325768,250.69871981114886,107.625845939898,61.2082364860147,15.000000000000966,15.0,80.87605777325672,0.5522964385349235,164.77060596598983,76.72860650232191,47.10782382279424,0.5171459103204576,66.06918350706138,11.749788166640315,5.000000439784628,0.1605351170568562,True,
19.0,1.569443105031013,95.73397510374457,252.2366261822125,107.46507581235932,60.860005321120525,15.000000000000966,15.0,80.7339751037436,0.5441727286082618,164.77060596598983,76.46024224473479,47.36276986750195,0.507285396643042,65.00905744224656,11.731100708614747,4.999999991909192,0.1605351170568562,True,
19.25,1.5747124745646266,95.59034000864006,253.75203986291456,107.30254145436271,60.499243900121314,15.000000000000966,15.0,80.59034000863909,0.5363858801610423,164.77060596598983,76.2043877458819,47.605831641412166,0.49756725705705873,63.990782392471004,11.712201445722656,4.999999833890115,0.1605351170568562,True,
19.5,1.5797650031279484,95.44501319748531,255.24523473948432,107.13808497779678,60.12733702794969,15.000000000000966,15.0,80.44501319748434,0.5289182690603186,164.77060596598983,75.96066488521961,47.83736835904138,0.4879954424725048,63.012050255430964,11.69307178031147,5.000000152585301,0.1605351170568562,True,
19.75,1.584603959823155,95.29787972781912,256.7164983660449,106.97157601564726,59.745609038961106,15.000000000000966,15.0,80.29787972781816,0.5217533707548224,164.77060596598983,75.72870133013693,48.057733736369926,0.4785734532863832,62.070710925109125,11.673696287828136,5.000000335500715,0.1605351170568562,True,
20.0,1.5892328210241606,95.14884922061401,258.1661335671523,106.80291197155634,59.35532411364193,15.000000000000966,15.0,80.14884922061304,0.5148756728547527,164.77060596598983,75.50813097521328,48.267275573547394,0.4693043496752893,61.16476002487826,11.65406275094233,5.000000453246116,0.1605351170568562,True,
