P_high_MPa,Q_sink_kW,COP,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,superheat_K,m_CO2_kg_s,m_steam_kg_h,W_electric_kW,Q_evaporator_kW,x5,IHX_heat_kW,IHX_min_approach_K,gas_cooler_min_approach_K,pinch_location,valid,invalid_reason
19.5,120.0,1.6432965745320876,54.35386350497333,247.91444947474145,82.58045136245823,55.24844936495424,4.547473508864641e-13,0.0,54.35386350497288,0.4327246420214064,167.73103256994833,73.02394580489454,50.6272514853502,0.4932878524678511,30.989350732476293,28.2265878574849,5.000000000223679,0.11371237458193979,True,
19.75,120.0,1.6472111710433188,54.22465501517644,249.3499390618514,82.38680729592522,54.80612105068093,4.547473508864641e-13,0.0,54.22465501517598,0.42803357535474995,167.73103256994833,72.85040443478404,50.792115786955165,0.4860663432091225,30.591588895604794,28.162152280748785,4.999998765598491,0.11371237458193979,True,
20.0,120.0,1.650815849150707,54.093877163836396,250.76460154772747,82.19078576974539,54.36785223355514,4.547473508864641e-13,0.0,54.09387716383594,0.42354635977528415,167.73103256994833,72.69133020605311,50.94323630424955,0.4790762354678372,30.20895811346244,28.096908605908993,4.999998209678608,0.11371237458193979,True,
20.25,120.0,1.6541255103174743,53.96180401997253,252.1592382465169,81.99279672461051,53.934402663064816,4.547473508864641e-13,0.0,53.96180401997208,0.41925052772899457,167.73103256994833,72.54588557610029,51.08140870270471,0.4723112440487162,29.840633543772647,28.03099270463798,4.999997605256738,0.11371237458193979,True,
20.5,120.0,1.6571548291857798,53.82869272294988,253.53461561611755,81.79322492460551,53.506406431939524,4.547473508864641e-13,0.0,53.82869272294943,0.41513443068989836,167.73103256994833,72.41326995315238,51.2073935445052,0.46576478875941985,29.485841064637484,27.96453220165563,4.999996977611431,0.11371237458193979,True,
20.75,120.0,1.6599180953709578,53.69478751791195,254.89147150982524,81.59243599679337,53.084388424896645,4.547473508864641e-13,0.0,53.69478751791149,0.4111872027922504,167.73103256994833,72.2927235594612,51.321912618511874,0.4594301297803079,29.14385703084703,27.897648478881422,5.000003096177977,0.11371237458193979,True,
21.0,120.0,1.662429482116971,53.56030190138739,256.2304888714025,81.39074964423139,52.668755500765315,4.547473508864641e-13,0.0,53.560301901386936,0.407398667124953,167.73103256994833,72.18351291941093,51.42566272655962,0.45330023644344186,28.813993794696266,27.830447742844,5.000002478524664,0.11371237458193979,True,
21.25,120.0,1.664702479191096,53.425446005162144,257.55233657834253,81.18848069316397,52.25983898800814,4.547473508864641e-13,0.0,53.42544600516169,0.4037593658710204,167.73103256994833,72.08495301713602,51.519294633720804,0.44736817514839455,28.495614829324392,27.763034688001824,5.0000019129633415,0.11371237458193979,True,
21.5,120.0,1.6667501894741137,53.29040880542635,258.8576435418631,80.98591240167929,51.85788510011673,4.547473508864641e-13,0.0,53.2904088054259,0.4002604692955733,167.73103256994833,71.99639199552868,51.603427604247784,0.4416269590798676,28.188120280751008,27.695503596252934,5.000001415609802,0.11371237458193979,True,
21.75,120.0,1.6685852103349634,53.155362926713394,260.1470046605165,80.78330364714913,51.46307050384394,4.547473508864641e-13,0.0,53.15536292671294,0.3968937484815277,167.73103256994833,71.91721421042104,51.67864650010003,0.4360696544057661,27.890947465063476,27.62794072043573,5.000000996043411,0.11371237458193979,True,
22.0,120.0,1.6702196105079279,53.02046495570585,261.42098357154964,80.58088938101366,51.07551193272741,4.547473508864641e-13,0.0,53.02046495570539,0.3936515369121823,167.73103256994833,71.84683932881556,51.74550263762522,0.4306894246937856,27.603568440201915,27.560424425307815,5.000000657463772,0.11371237458193979,True,
22.25,120.0,1.6716649181050298,52.88585584579744,262.6801117888856,80.37888121970798,50.69527494904821,4.547473508864641e-13,0.0,52.88585584579698,0.39052669423460074,167.73103256994833,71.78472114856002,51.80451490886799,0.4254795673396898,27.325487732985785,27.49302537391054,5.000000397706856,0.11371237458193979,True,
22.5,120.0,1.6729321150546328,52.751661415263584,263.9248900884861,80.1774681762646,50.322381782044204,4.547473508864641e-13,0.0,52.75166141526313,0.3875125708241872,167.73103256994833,71.73034633032984,51.85617098618665,0.42043354221794466,27.056240130970725,27.425806761001013,5.000000210740154,0.11371237458193979,True,
22.75,120.0,1.6740316395727615,52.617992983857846,265.15578951024236,79.97681760012802,49.95681827615897,4.547473508864641e-13,0.0,52.61799298385739,0.3846029742840118,167.73103256994833,71.68323295886202,51.900928689081105,0.41554499355908625,26.795388642702452,27.35882461627017,5.000000088252989,0.11371237458193979,True,
23.0,120.0,1.674973393541771,52.484948132183945,266.37325270375163,79.777076301958,49.598539967385534,4.547473508864641e-13,0.0,52.48494813218349,0.38179213722058114,167.73103256994833,71.6429290534921,51.939217399182525,0.41080776568746236,26.542522576238593,27.29212816977406,5.000000021040535,0.11371237458193979,True,
